ds,yhat
2024-03-22,6304.434381689252
2024-07-15,6966.675619700503
2024-07-16,6983.126548302724
2024-08-19,6753.3584471915965
2024-08-20,6769.817325599836
2024-08-21,6801.744776191294
2024-08-22,6816.9966591086995
2024-08-23,6832.525674522255
2024-08-24,-2952.6289792100156
2024-08-25,-2958.7322598850433
2024-08-26,6710.75066134576
2024-08-27,6727.209539755402
2024-08-28,6759.136990333844
2024-08-29,6774.38887325406
2024-08-30,6789.917888658047
2024-08-31,-2995.2367650792144
2024-09-01,-3001.3400457394537
2024-09-02,6668.142875488067
2024-09-03,6684.6017538952365
2024-09-04,6716.529204476621
2024-09-05,6731.78108739942
2024-09-06,6747.310102800819
2024-09-07,-3037.8445509119197
2024-09-08,-3043.9478316213526
2024-09-09,6625.535089637494
2024-09-10,6641.99396803507
2024-09-11,6673.921418619169
2024-09-12,6689.173301534377
2024-09-13,6704.702316943591
2024-09-14,-3080.452336772355
2024-09-15,-3086.5556174845797
2024-09-16,6582.927303786921
2024-09-17,6599.38618217892
2024-09-18,6631.313632761653
2024-09-19,6646.565515675929
2024-09-20,6662.094531079382
2024-09-21,-3123.06012263279
2024-09-22,-3129.1634033301757
